Aaron
Abaddon
Abba
Abdi
Abel
Abia
Abiathar
Abilina
Abiud
Abraham
Achaz
Achim
Adam
Aelamitae
Aennon
Aeropagus
Aethiopus
Agabus
Agar
Aminadab
Amos
Ampliatus
Ananias
Andreas
Annas
Antiochenus
Antipa
Antipatris
Apollo2
Apollyon
Aquila
Aram
Aretas
Arimathaea
Armagedon
Arphaxad
Artemas
Asa
Aser
Assus
Asyncritus
Attalia
Azor
Azotus
Baal
Baalam
Balac
Baptista
Barabbas
Barachias
Bariesu
Barionas
Barnabas
Barsabban
Bartholomaeus
Bartimaeus
Beelzebub
Belial
Beniamin
Bereneice
Beroeensis
Beryllus
Bethania
Bethfage
Bethleem
Bethsaida
Blastus
Boanerges
Booz
Byrrus
Cain
Cainan
Caiphas
Caluaria
Cana
Cananaeus
Candace
Capharnaum
Cauda
Cedron
Cenchreae
Cephas
Chanaan
Charra
Chusas
Cis
Clemens
Cleopa
Cleophas
Colossae
Coos
Corozain
Crispus
Dalmanutha
Damaris
Damascenus
Danihelus
Dauid
Decapolis
Demas
Derbe
Derbeus
Dionisius
Dorcas
El
Eleazar
Eliachim
Eliezer
Elisabeth
Eliud
Elmadan
Elymas
Emmanuel
Emmaus
Enos
Epaenetus
Epaphra
Ephraim
Erastus
Esaias
Esau
Esli
Esron
Eua
Eubulus
Euhodia
Euroaquilo
Exterminans
Ezechias
Felix
Festus
Fortunatus
Gabbatha
Gabriel
Gad
Galilaea
Galilaeus
Gallicae
Gamaliel
Gaza
Gennesar
Gennesareth
Geraseni
Gethsemani
Gog
Golgotha
Gomorrha
Gomorrhaeus
Graece
Haceldama
Heber
Hebraice
Hebraicus
Heli
Helisaeus
Hemor
Henoch
Her
Herodianus
Herodias
Herodio
Hieremias
Hierosolyma
Hierosolymitus
Iacob
Iairus
Iannae
Iared
Iconium
Idumaea
Iechonias
Iericho
Iesse
Iesus
Iezabel
Ioatham
Ioel
Iohanna
Iona
Ionas
Ioppe
Ioram
Iorim
Iosaphat
Ioseph
Iosias
Isaac
Iscariotes
Israel
Israelita
Issachar
Ituraea
Iudas
Iustus
Lamech
Latine
Lazarus
Legio
Leui
Leuites
Lot
Lucas
Lycaonice
Lydda
Lysanias
Lystra
Maath
Macer
Madian
Magdalene
Magedan
Magog
Malaleel
Manaen
Manasses
Martha
Mathan
Mathat
Mathata
Mathathias
Mathusale
Matthaeus
Matthias
Melchi
Melchisedech
Melea
Melitas
Menna
Messias
