Lemma	Mark	Nature	Description	Formes communes	Code
ab		PRE	 	a, ab	70
abactus	, us	NOMcom	 	abactus	14
abacus	, i	NOMcom	 	abacum, abaci	12
abalieno	, as, are	VER	 	abalienari, abalienasse	51
Abantiades		NOMpro	Auto. (Greek)	Abantiades	17
Abaris		NOMpro	Auto. 	Abarim	13
Abas	, Abantis	NOMpro	Auto. 	Abas, Abantis	13
Abascantus	, i	NOMpro	Auto. 	Abascanto	12
abatos		ADJqua	 (Greek)		27
abauus	, i	NOMcom	 	abauus, abaui	12
abbas	, tis	NOMcom	 		13
Abdagaeses		NOMpro	Auto. (Greek)	Abdagaesen, Abdagaeses	17
Abdalonymus	, i	NOMpro	Auto. 	Abdalonymum, Abdalonymus	12
Abdera	, ae	NOMpro	Auto. 	Abdera	11
abdico1	, as, are	VER	 	abdicat, abdicauit	51
abditum	, i	NOMcom	 =LOCVS ABDITVS (Sg.,Pl.) 	abdito, abdita	12
abditus	, a, um	ADJqua	 Caché, secret 	abdita, abditum	21
abdo	, is, ere	VER	 	abdidit, abdita	53
abdomen	, inis	NOMcom	 	abdomen, abdomini	13
Abducillus	, i	NOMpro	Auto. 	Adbucilli	12
abduco	, is, ere	VER	 	abduxit, abducere	53
Abdus	, i	NOMpro	Auto. 	Abdus, Abdum	12
Abella	, ae	NOMpro	Auto. 	Abellae	11
Abellanus		ADJqua	Auto. 	Abellanas	2
abeo1	, in, is, ire	VER	 	abire, abi	56
aberro2	, as, are	VER	 	aberrare, aberrat	51
Abgarus	, i	NOMpro	Auto. 	Acbarus, Acbari	12
abhinc		ADV	 	abhinc	60
abhorreo	, es, ere	VER	 	abhorrere, abhorret	52
abhorridus	, a, um	ADJqua	 	abhorridum	21
abicio	, is, ere	VER	 	abiecit, abiectis	55
abiecte		ADV	 	abiecte, abiectius	6&
abiectio		NOMcom	Auto. 	abiectio	13
abiectus	, a, um	ADJqua	 (A tous les sens du Verbe) 	abiectum, abiectam	21
abiegneus	, a, um	ADJqua	 		21
abiegnus	, a, um	ADJqua	 	abiegnis, abiegnast	21
abies	, tis	NOMcom	 	abies, abiete	13
abigo	, is, ere	VER	 	abigit, abacta	53
Abii	, i	NOMpro	Auto. 	Abiorum	12
Abisares		NOMpro	Auto. 	Abisares, Abisaren	13
Abistamenes	, Abistamenis	NOMpro	Auto. 	Abistamene	13
abito		VER	Auto. 	abitas	53
abitus	, us	NOMcom	 	abitum, abitu	14
abiudico	, as, are	VER	 	abiudicabit, abiudicauisse	51
abiungo		VER	 	abiuncto, abiunctos	53
abiuro	, as, are	VER	 	abiurant, abiuratae	51
ablaqueo1	, as, are	VER	 	ablaqueato, ablaqueatas	51
ablego1	, as, are	VER	 (pas de Sous-lemme) 	ablegato, ablegauit	51
ableuo1	, as, are	VER	 		51
abludo	, is	VER	 	abludit	53
abluo	, is, ere	VER	 	abluit, ablue	53
abnego	, as	VER	 	abnegat, abnegarent	51
abnepos	, tis	NOMcom	 	abnepotem, abnepos	13
Abnoba	, ae	NOMpro	Auto. 	Abnobae	11
abnocto	, as, are	VER	 	abnoctantem	51
abnormis	, is	ADJqua	 	abnormis	24
abnuo	, is, ere	VER	 	abnuere, abnuit	53
abnuto	, as	VER	Auto. 	abnutas, abnuto	51
aboleo	, es, ere	VER	 (-LEVI, -LITVM) 	abolere, abolita	52
abolesco		VER	 (-LEVI; pas de Supin) 	abolescet	53
abolitio	, nis	NOMcom	 	abolitio, abolitionem	13
abolla	, ae	NOMcom	 	abollae, abolla	11
abominor		VER	 	abominanda, abominor	5J
Aborigines		NOMpro	Auto. 	Aborigines, Aboriginum	13
aborior	, iri	VER	 	aboriri	5M
aboriscor	, sci	VER	 	aborisci	5L
abortio1	, nis	NOMcom	Auto. 	abortione, abortionis	13
abortiuus	, a, um	ADJqua	 	abortiuus, abortiuis	21
abortus	, us	NOMcom	 	abortu, abortus	14
abrado	, ere	VER	 	abradere, abradens	53
abripio	, is, ere	VER	 	abripi, abrepta	55
abrogo	, as, are	VER	 	abrogatam, abrogauit	51
abrotonum	, i	NOMcom	 	habrotonum, habrotono	12
abrotonus	, i	NOMcom	 	habrotoni	12
abrumpo	, is, ere	VER	 	abruptis, abrumpere	53
abruptum	, i	NOMcom	 (A tous les sens de ABRVPTVS;Sg.,Pl.) 	abrupta, abruptum	12
abruptus	, a, um	ADJqua	 Escarpé; intraitable; incohérent 	abrupta, abruptum	21
abscedo1	, is, ere	VER	 	abscessit, apscede	53
abscessus	, us	NOMcom	 	abscessu, abscessus	14
abscido2	, ere	VER	 (dérivé de CAEDO) 	abscisum, abscisis	53
abscindo	, is, ere	VER	 	abscidit, abscindere	53
abscisio	, nis	NOMcom	 		13
abscisus	, a, um	ADJqua	 (A tous les sens du Verbe + terme de rhétorique : TRVNCVS) 	abscisa, abscisas	21
absconditus	, a, um	ADJqua	 Caché, secret (Propre et Figuré) 	abscondito, absconditum	21
abscondo	, is, ere	VER	 	abscondit, abscondere	53
absconsus	, a, um	ADJqua	 Caché, secret (Propre et Figuré) 		21
absens	, tis	ADJqua	 (Quand il est en rapport avec PRAESENS Adj.) 	absens, absentis	25
absentia	, ae	NOMcom	 	absentia, absentiam	11
absentiuus		ADJqua	Auto. 	absentiuos	2
absilio		VER	 	absiliebat	54
absimilis	, is	ADJqua	 	absimili	24
absinthium	, i	NOMcom	 	apsinthia, absinthia	12
absisto	, is, ere	VER	 	absiste, absistere	53
absoluo	, is, ere	VER	 	absolutus, absolui	53
absolute		ADV	 	absolute	60
absolutio	, nis	NOMcom	 	absolutione, absolutionem	13
absolutus	, a, um	ADJqua	 (A tous les sens du Verbe ;En particulier =COMPLETV S) 	absolutum, absolutissima	21
absonus	, a, um	ADJqua	 	absona	21
absorbeo	, es, ere	VER	 	absorbuit, absorbet	52
absque1		ADV	 		60
absque2		PRE	 	apsque	70
abstantia	, ae	NOMcom	 		11
abstemius	, a, um	ADJqua	 	abstemius	21
abstergeo	, ere	VER	 	abstersit, abstersis	52
absterreo	, es, ere	VER	 	absterrere, absterruit	52
abstinax	, cis	ADJqua	Auto. 	abstinax	2
abstinens	, tis	ADJqua	 (A tous les sens du Verbe) 	abstinens, abstinentem	25
abstinenter		ADV	 	abstinenter	60
abstinentia	, ae	NOMcom	 	abstinentia, abstinentiam	11
abstineo	, es, ere	VER	 	abstinuit, abstinere	52
absto	, as, are	VER	Auto. 	abstes	51
abstraho	, is	VER	 	abstrahi, abstractus	53
abstrudo	, ere	VER	 	abstrusa, abstrusus	53
abstrusus	, a, um	ADJqua	 	abstrusum, abstrusa	21
absum1	, es, ss, sse	VER	 	abest, abesse	56
absumedo	, inis	NOMcom	Auto. 	apsumedo	13
absumo	, is, ere	VER	 	absumpti, absumptis	53
absurde		ADV	 	absurde, apsurde	60
absurdus	, a, um	ADJqua	 	absurdum, absurda	21
Abudius	, i	NOMpro	Auto. 	Abudius	12
Abulites	, ae	NOMpro	Auto. 	Abulites, Abulitae	11
abundans1	, tis	NOMcom	 (Uniquement dans EX AB VNDANTI) 	abundanti	13
abundans2	, tis	ADJqua	 (A tous les sens du Verbe) 	abundans, abundanti	25
abundantia	, ae	NOMcom	 	abundantia, abundantiam	11
abunde		ADV	 	abunde, abundest	60
abundo	, as, are	VER	 	abundat, abundare	51
abundus	, a, um	ADJqua	 		21
abusque		PRE	 	abusque	70
abutor	, iris, is, uti	VER	 	abuti, abusum	5L
Abydenus		ADJqua	Auto. 	Abydenus, Abydeno	2
Abydus	, i	NOMpro	Auto. 	Abydos, Abydo	12
ac1		CONcoo	 	ac	81
ac2		CONsub	 	ac	82
acacia	, ae	NOMcom	Auto. 	acaciae	11
Academia	, ae	NOMpro	Auto. 	Academia, Academiae	11
Academica	, i	NOMpro	Auto. 	Academicis	12
Academici	, i	NOMpro	 		12
Academicus	, a, um	ADJqua	 		21
Academus	, i	NOMpro	Auto. 	Academi	12
Acadira	, i	NOMpro	Auto. 	Acadira	12
acalanthis	, dis	NOMcom	 (Greek)	acalanthida	17
Acamas		NOMpro	Auto. (Greek)	Acamas	17
Acanthis	, dis	NOMpro	Auto. 	Acanthis	13
acanthus	, i	NOMcom	 	acantho, acanthus	12
Acarnan		ADJqua	Auto. 	Acarnan	2
Acarnanes		NOMpro	Auto. 	Acarnanes	13
Acarnania	, ae	NOMpro	Auto. 	Acarnania	11
Acastus	, i	NOMpro	Auto. 	Acastus	12
Acca	, ae	NOMpro	Auto. 	Acca, Accam	11
accedo1	, is, ere	VER	 	accedere, accessit	53
accelero	, as, are	VER	 	accelerat, acceleremus	51
accendo	, is, ere	VER	 (pas de Sous-lemme) 	accendit, accensa	53
accenseo		VER	 		52
accensi	, i	NOMcom	 (terme de la langue Militaire) 		12
accensus1	, i	NOMcom	 =MINISTER PVBLICVS 	accensus, accensi	12
accensus2	, us	NOMcom	 		14
acceptatus	, a, um	ADJqua	 	acceptatius	21
acceptio	, nis	NOMcom	 	acceptio	13
accepto	, as, are	VER	 	acceptante	51
acceptum	, i	NOMcom	 (terme de la langue Financière, Sg.,Pl.) 	acceptum, accepti	12
acceptus	, a, um	ADJqua	 (tous les sens du Verbe + sens de CARVS ET terme de la langue Financière) 	acceptum, acceptus	21
accessio	, nis	NOMcom	 	accessionem, accessio	13
accessito	, as, are	VER	 	accessitauere	51
accesso	, as, are	VER	 		51
accessus	, us	NOMcom	 	accessus, accessum	14
accidens	, tis	NOMcom	 L’Accident (Neutre) 	accidentia, accidens	13
accido1	, is, ere	VER	 (dérivé de CADO);pas de Supin 	accidit, accidere	53
accido2		VER	 (dérivé de CAEDO) 	accisae, accisis	53
accieo		VER	 (Uniquement pour les formes de la 2ème conj.) 		52
accingo	, is, ere	VER	 	accinctus, accingi	53
accio	, ire	VER	 	accitum, acciri	54
accipio	, is, ere	VER	 	accepit, accipere	55
accipiter	, ris	NOMcom	 	accipiter, accipitres	13
accipitrina	, ae	NOMcom	Auto. 	accipitrina	11
accito1	, as, are	VER	 		51
accitus	, us	NOMcom	 	accitu	14
Accius	, i	NOMpro	Auto. 	Accium, Acci	12
acclamatio	, nis	NOMcom	 	acclamationes, adclamationibus	13
acclamo	, are	VER	 	acclamatum, adclamauit	51
acclinis	, is	ADJqua	 	adclinis, acclinis	24
acclino	, as, are	VER	Auto. 	acclinatus	51
accliuis	, dcliuis	ADJqua	 	accliuis, accliue	24
accliuitas	, tis	NOMcom	 	accliuitate	13
accliuus	, a, um	ADJqua	 		21
Acco	, Acconis	NOMpro	Auto. 	Acconis, Acco	13
accognosco	, iris, is	VER	 	adcognosco, adcognoscit	53
accola	, ae	NOMcom	 	accolas, accolae	11
accolo2	, is	VER	 (pas de Sous-lemme) 	accolit, accolet	53
accommodatio	, nis	NOMcom	 	accommodatione	13
accommodatus	, a, um	ADJqua	 = CONFORMATES, APTVS 	accommodata, accommodatus	21
accommodo	, as, are	VER	 	accommodat, accommodatur	51
accommodus	, a, um	ADJqua	 	accommoda	21
accredo	, ere	VER	 	adcredere, adcredat	53
accrementum	, i	NOMcom	 		12
accresco	, is, ere	VER	 	adcreuit, accrescere	53
accubitio	, nis	NOMcom	 	accubitionem, accubitio	13
accubo	, as	VER	 	accubat, accubet	51
accumbo	, is, ere	VER	 	accubitum, accubuisse	53
accumulator	, is	NOMcom	 	adcumulator	13
accumulo	, as, are	VER	 	accumulat, accumulem	51
accurate		ADV	 	accurate, accuratius	60
accuratus	, a, um	ADJqua	 Soigné; Recherché (Surtout à propos de l'ORATIO) 	accuratam, accuratissima	21
accuro	, are	VER	 	accurauit, accures	51
accurro	, is, ere	VER	 	accurrit, adcurrit	53
accursus	, us	NOMcom	 	adcursu, accursu	14
accusatio	, nis	NOMcom	 	accusationis, accusationem	13
accusator	, is	NOMcom	 	accusator, accusatores	13
accusatorie		ADV	 	accusatorie	60
accusatorius	, a, um	ADJqua	 	accusatorio, accusatoria	21
accusatrix	, cis	NOMcom	Auto. 	accusatrici, accusatricis	13
accuso	, as, are	VER	 (pas de Sous-lemme) 	accusare, accusandum	51
aceo		VER	 	aceat	52
acer1		NOMcom	 	acer	13
acer2	, acris	ADJqua	 	acer, acri	23
acerbe		ADV	 	acerbe, acerbissime	60
acerbitas	, tis	NOMcom	 	acerbitate, acerbitatem	13
acerbo	, as	VER	Auto. 	acerbat	51
acerbum	, i	NOMcom	 =ACERBITAS (Sg.,Pl.) 	acerba, acerbi	12
acerbus	, a, um	ADJqua	 	acerba, acerbum	21
acernus	, a, um	ADJqua	 	acerno, acernis	21
acerra	, ae	NOMcom	 	acerra	11
Acerrae	, ae	NOMpro	Auto. 	Acerris	11
Acerronia	, ae	NOMpro	Auto. 	Acerronia, Acerroniae	11
Acerronius	, i	NOMpro	Auto. 	Acerronius, Acerronio	12
acersecomes		NOMcom	 (Greek)	acersecomes	17
aceruatim		ADV	 	aceruatim	60
aceruo	, as, are	VER	 	aceruans, aceruatarum	51
aceruus	, i	NOMcom	 	aceruos, aceruo	12
acesco	, is	VER	 	acescit	53
Acesines	, Acesinis	NOMpro	Auto. (Greek)	Acesines, Acesinen	17
Acesta	, ae	NOMpro	Auto. 	Acestam	11
Acestenses		NOMpro	 		13
Acestes		NOMpro	Auto. (Greek)	Acestes, Acestae	17
acetabulum	, i	NOMcom	 	acetabula, acetabulum	12
acetum	, i	NOMcom	 	aceto, acetum	12
Achaei	, i	NOMpro	Auto. 	Achaei, Achaeos	12
Achaemenes		NOMpro	Auto. 	Achaemenes, Achaemenis	13
Achaemenides		NOMpro	Auto. (Greek)	Achaemenides, Achaemenidis	17
Achaemenius		ADJqua	Auto. 	Achaemeniis, Achaemenio	2
Achaeus	, a, um	ADJqua	 		21
Achaia	, ae	NOMpro	 		11
Achaias		ADJqua	Auto. 	Achaeiadas	2
Achaici	, i	NOMpro	Auto. 	Achaici	12
Achaicus	, a, um	ADJqua	 		21
Acharneus		NOMpro	Auto. (Greek)	Acharneus	17
Achates	, Achatis	NOMpro	Auto. 	Achates, Achate	11
Acheloius		ADJqua	Auto. 	Acheloia	2
Achelous	, i	NOMpro	Auto. 	Achelous, Acheloe	12
Acheron	, Accheruntis	NOMpro	Auto. (Greek)	Acheronte, Acheron	17
Acheronticus		ADJqua	Auto. 	Accherunticas	2
Acheruntia	, ae	NOMpro	Auto. 	Aceruntiae	11
Acherusius		ADJqua	Auto. 	Acherusia, Acherusio	2
Achillas	, ae	NOMpro	Auto. 	Achillam, Achillae	11
Achilles	, Achillis	NOMpro	Auto. (Greek)	Achilles, Achillis	17
Achilleus		ADJqua	Auto. 	Achilleae, Achillea	2
Achillides		NOMpro	Auto. (Greek)	Achillides, Achilliden	17
Achiui	, i	NOMpro	 		12
Achiuus	, a, um	ADJqua	 		21
Achradina	, ae	NOMpro	 		11
acia	, ae	NOMcom	Auto. 	acia	11
Acidalia	, ae	NOMpro	Auto. 	Acidaliae	11
acide		ADV	Auto. 	acidius	6
Acidinus	, i	NOMpro	Auto. 	Acidinos	12
acidus	, a, um	ADJqua	 	acidum, acidas	21
acies	, ei	NOMcom	 	aciem, acie	15
Acilia	, ae	NOMpro	Auto. 	Acilia, Aciliam	11
Acilianus	, i	NOMpro	Auto. 	Aciliani, Acilianus	12
Acilius	, a, um	ADJqua	 		21
acina1	, ae	NOMcom	 		11
acina	, ae	NOMcom	Auto. 	acina	11
acinaces	, is	NOMcom	 	acinacem, acinace	13
acinum	, i	NOMcom	 	acina	12
acinus	, i	NOMcom	 	acinum, acini	12
acipenser	, is	NOMcom	 	acipensere, acipenser	13
Acis		NOMpro	Auto. (Greek)	Aci	17
aclys	, dis	NOMcom	Auto. 	aclydes	13
Acme		NOMpro	Auto. (Greek)	Acme, Acmen	17
Acmon		NOMpro	Auto. (Greek)	Acmon	17
Acmonenses	, Acmonensis	NOMpro	Auto. 	Acmonensium, Acmonensibus	13
Acmonensis		ADJqua	Auto. 	Acmonensis	2
Acmonides		NOMpro	Auto. 	Acmonides	13
acoenonoetus	, i	NOMcom	 	acoenonoetus	12
Acoetes		NOMpro	Auto. (Greek)	Acoetes	17
aconitum	, i	NOMcom	 	aconita	12
Aconteus	, i	NOMpro	Auto. 	Aconteus	12
Acontius	, i	NOMpro	Auto. 	Acontius, Aconti	12
acor	, is	NOMcom	Auto. 	acoribus	13
acosmos	, i	NOMcom	 (Greek)	acosmos	17
acquiesco	, is, ere	VER	 	adquiescit, adquiescere	53
acquiro	, is, ere	VER	 	adquirere, adquiritur	53
acquisitio	, nis	NOMcom	 		13
Acragantinus		ADJqua	Auto. 	Acragantinus	2
Acragas		NOMpro	Auto. (Greek)	Acraganta, Acragas	17
Acratus	, i	NOMpro	Auto. 	Acrato, Acratum	12
acrimonia	, ae	NOMcom	 	acrimoniam	11
Acrisioneus		ADJqua	Auto. 	Acrisioneis	2
Acrisius	, i	NOMpro	Auto. 	Acrisium, Acrisius	12
acriter		ADV	 	acrius, acriter	60
acritudo	, inis	NOMcom	 		13
acroama	, tis	NOMcom	 (Greek)	acroama, acroamata	17
acroasis		NOMcom	 (Greek)		17
acrobaticos		ADJqua	 (Greek)		27
Acroceraunia	, i	NOMpro	Auto. 	Acroceraunia	12
acrolithus	, i	ADJqua	 (Greek)		27
Acron	, is	NOMpro	Auto. (Greek)	Acron, Acrona	17
Acropolistis	, Acropolistidis	NOMpro	Auto. 	Acropolistidem	13
acroterium	, i	NOMcom	 		12
acta	, ae	NOMcom	 	acta, actas	11
Actaeon		NOMpro	Auto. (Greek)	Actaeon	17
Actaeus	, i	ADJqua	Auto. 	Actaea, Actaeae	2
Acte		NOMpro	Auto. (Greek)	Acte, Actes	17
Actiacus	, a, um	ADJqua	 		21
Actias		ADJqua	Auto. 	Actias	2
actio	, nis	NOMcom	 	actione, actio	13
actito	, as, are	VER	 	actitando, actitasse	51
actiuitas		NOMcom	 		13
Actium	, i	NOMpro	Auto. 	Actium	12
actiuncula	, ae	NOMcom	Auto. 	actiunculas	11
Actius	, a, um	ADJqua	 	Actia, Actius	21
actiuus	, a, um	ADJqua	 	actiua	21
actor	, is	NOMcom	 	actor, actorem	13
Actorides		NOMpro	Auto. (Greek)	Actorides, Actoriden	17
actuaria	, ae	NOMcom	 	actuariis	11
actuarius1	, i	NOMcom	 	actuarius, actuari	12
actuarius2	, a, um	ADJqua	 	actuariis, actuarias	21
actum	, i	NOMcom	 =RES GESTAE, ACTIONES (Sg.,Pl.) 	acta, actis	12
Actumerus	, i	NOMpro	Auto. 	Actumero	12
actuosus	, a, um	ADJqua	 	actuosa, actuosus	21
actus1	, us	NOMcom	 	actu, actus	14
actus2	, a, um	ADJqua	 =FACTVS, PERFECTVS 	actarum	21
actutum		ADV	 	actutum	60
aculeatus	, a, um	ADJqua	 	aculeata	21
aculeus	, i	NOMcom	 	aculeum, aculeos	12
acumen	, inis	NOMcom	 	acumen, acumine	13
acuo	, is, ere	VER	 	acuit, acuont	53
acus1	, i	NOMcom	 		12
acus2		NOMcom	 	acus	13
acus3	, us	NOMcom	 	acu, acus	14
acute		ADV	 	acute, acutissime	60
Acutia	, ae	NOMpro	Auto. 	Acutiam	11
Acutius	, i	NOMpro	Auto. 	Acutius	12
acutulus	, a, um	ADJqua	 		21
acutum	, i	NOMcom	 	acuta	12
acutus	, a, um	ADJqua	 (A tous les sens du Verbe) 	acuto, acuta	21
Acylla	, ae	NOMpro	Auto. 	Acyllam, Acylla	11
Acyllitani	, i	NOMpro	Auto. 	Acyllitanos	12
ad1		ADV	 	ad	60
ad2		PRE	 	ad	70
adactus	, us	NOMcom	 	adactus	14
adaeque		ADV	Auto. 	adaeque	6
adaequo	, are	VER	 	adaequare, adaequarent	51
adaggero1	, as, are	VER	 	adaggerato	51
adamantinus	, a, um	ADJqua	 	adamantina, adamantinos	21
adamas	, ntis	NOMcom	 (Greek)	adamante, adamanta	17
Adamastus	, i	NOMpro	Auto. 	Adamasto	12
adambulo	, as, are	VER	Auto. 	adambulabo	51
adamo	, as, are	VER	 	adamarit, adamauit	51
adaperio		VER	 	adaperta, adapertae	54
adareo		VER	 	adaruerit	52
Adarrhias		NOMpro	Auto. (Greek)	Adarrhias	17
adauctus	, us	NOMcom	 	adauctu	14
adaugeo	, ere	VER	 	adaucta, adaugeri	52
adaugesco	, is	VER	 	adaugescit	53
adaugmen	, inis	NOMcom	 	adaugmen	13
adbibo2		VER	 	adbibe	53
adbito		VER	Auto. 	adbites	53
addecet	, es	VER	 	addecet	52
addenseo		VER	Auto. 	addensent	52
addico2	, ere	VER	 	addictus, addicere	53
addictio	, nis	NOMcom	 	addictio	13
addisco	, ere	VER	 	addiscentem, addiscere	53
additamentum	, i	NOMcom	 	additamentum	12
addo	, is, ere	VER	 	adde, addidit	53
addoceo	, es	VER	 	addocet	52
addubito	, are	VER	 	addubitem, addubitauere	51
adduco	, is, ere	VER	 	adductus, adducti	53
adducte		ADV	 	adductius	6&
adductus	, a, um	ADJqua	 	adductior, adductum	21
adedo2		VER	 (Uniquement aux temps dérivés du Parfait et du Supin) 	adesis, adeso	56
Adelphi	, i	NOMpro	Auto. 	Adelphis	12
ademo		VER	 	ademptum, adempta	53
ademptio	, nis	NOMcom	 	ademptione, ademptiones	13
adeo1	, is, ire	VER	 	adire, adiit	56
adeo2		ADV	 	adeo, adeon	60
adeps	, ipis	NOMcom	 	adipes, adipis	13
adequito	, are	VER	 	adequitare, adequitauit	51
Adgandestrius	, i	NOMpro	Auto. 	Adgandestrii	12
adhaereo	, es, ere	VER	 	adhaeret, adhaesit	52
adhaeresco	, ere	VER	 	adhaeresceret, adhaerescere	53
adhaesus	, us	NOMcom	 	adhaesum, adhaesu	14
Adherbal	, Adherbalis	NOMpro	Auto. 	Adherbalem, Adherbal	13
adhibeo	, es, ere	VER	 	adhibere, adhibenda	52
adhinnio	, is	VER	 	adhinnit, adhinniuit	54
adhortatio	, nis	NOMcom	 	adhortationes, adhortatione	13
adhortator	, is	NOMcom	 		13
adhortor	, aris, ari	VER	 	adhortatus, adhortari	5J
adhuc		ADV	 	adhuc, adhoc	60
Adiabeni	, i	NOMpro	Auto. 	Adiabenos, Adiabenorum	12
Adiabenus		ADJqua	Auto. 	Adiabenus, Adiabenum	2
adiacens	, tis	ADJqua	Auto. 	adiacentibus	2
adiaceo	, es, ere	VER	 	adiacet, adiacent	52
Adiatuanus	, i	NOMpro	Auto. 	Adiatuanus	12
adicio	, is, ere	VER	 	adice, adiecit	55
adico2		VER	 	adice	53
adiectio	, nis	NOMcom	 	adiectio, adiectione	13
adiectus	, us	NOMcom	 	adiectu, adiectus	14
adigo	, is	VER	 	adegit, adigi	53
Adimantus	, i	NOMpro	Auto. 	Adimantum	12
adimo	, is, ere	VER	 	ademit, adimi	53
adindo		VER	 	adindito	53
adipatum	, i	NOMcom	 	adipata	12
adipes	, is	NOMcom	 	adipes	13
adipiscor	, iris, sci, ier	VER	 	adeptus, adepti	5L
aditialis	, is	ADJqua	 	aditiales, aditiali	24
aditus	, us	NOMcom	 	aditus, aditum	14
adiudico	, as	VER	 	adiudicauit, adiudicat	51
adiumentum	, i	NOMcom	 	adiumento, adiumenta	12
adiunctio		NOMcom	 		13
adiunctum	, i	NOMcom	 		12
adiunctus	, a, um	ADJqua	 	adiuncta, adiunctum	21
adiungo	, is, ere	VER	 	adiungit, adiungere	53
adiuro	, as	VER	 	adiuro, adiuret	51
adiuto	, as, are	VER	 	adiutamur, adiutaret	51
adiutor1	, is	NOMcom	 	adiutor, adiutorem	13
adiutor2		VER	 		5J
adiutorium	, i	NOMcom	 	adiutorio, adiutorium	12
adiutrix	, Adiutricis	NOMcom	 	adiutrix, adiutrice	13
adiuuo	, as, are	VER	 	adiuuat, adiutus	51
adluo	, is	VER	Auto. 	adluit, adluuntur	53
admaturo	, as, are	VER	 	admaturari	51
admetior	, iri	VER	 	admensus, admetiantur	5M
Admetus	, i	NOMpro	Auto. 	Admeti	12
adminiculum	, i	NOMcom	 	adminiculis, adminiculo	12
administer	, i	NOMcom	 	administer, administros	12
administra	, ae	NOMcom	 	administrae	11
administratio	, nis	NOMcom	 	administratione, administrationem	13
administro	, as, are	VER	 	administrari, administrare	51
admirabilis	, is	ADJqua	 	admirabilis, admirabilem	24
admirabilitas	, tis	NOMcom	Auto. 	admirabilitatem	13
admirandus	, a, um	ADJqua	 (Fréquent) 	admiranda, admirandum	21
admiratio	, nis	NOMcom	 	admiratione, admiratio	13
admirator	, is	NOMcom	 	admirator, admiratores	13
admiror	, aris, ari	VER	 	admiratus, admirari	5J
admisceo	, es, ere	VER	 	admixtum, admixta	52
admissarius	, i	NOMcom	Auto. 	admissarius	12
admissio	, nis	NOMcom	 	admissionum, admissiones	13
admissum	, i	NOMcom	 	admissis, admissum	12
admitto	, is, ere	VER	 	admittit, admisit	53
admixtio	, nis	NOMcom	Auto. 	admixtione	13
admoderate		ADV	 	admoderate	60
admodum		ADV	 (forme en 1 ou 2 mots) 	admodum, admodumst	60
admolior		VER	Auto. 	admolitus	54
admoneo	, es, ere	VER	 	admonuit, admonitus	52
admonitio	, nis	NOMcom	 	admonitio, admonitione	13
admonitor	, is	NOMcom	 		13
admonitus	, us	NOMcom	 	admonitu	14
admordeo		VER	 	admorso, admorsa	52
admoueo	, es, ere	VER	 	admouit, admotis	52
admugio	, is	VER	 	admugit	54
admurmuratio	, nis	NOMcom	 	admurmuratio, admurmuratione	13
admurmuro	, as, are	VER	 	admurmurauerint	51
admutilo	, as, are	VER	Auto. 	admutilabit	51
adoleo	, es, ere	VER	 (pas de Parfait) 	adolere, adolet	52
adolescens1	, ulescentis	NOMcom	 	adulescens, adulescentem	13
adolescens2	, ulescentis	ADJqua	 	adulescens, adulescentem	25
adolescentia	, ae	NOMcom	 	adulescentia, adulescentiae	11
adolescentula	, ae	NOMcom	Auto. 	adulescentulam	11
adolescentulus	, i	NOMcom	 	adulescentulus, adulescentulo	12
adolesco1	, is, ere	VER	 Grandir 	adoleuit, adulta	53
adolesco2		VER	 (dérivé de OLEO) 	adolescunt	53
Adoneus	, i	NOMpro	Auto. 	Adoneus	12
Adonis	, Adonis	NOMpro	Auto. 	Adonis, Adonem	13
adoperio		VER	 	adoperta, adopertus	54
adopinor		VER	 	adopinamur	5J
adoptatio	, nis	NOMcom	 	adoptatione, adoptatio	13
adoptio	, nis	NOMcom	 	adoptione, adoptionem	13
adoptiuus	, a, um	ADJqua	 	adoptiua, adoptiuas	21
adopto	, as, are	VER	 	adoptauit, adoptatus	51
ador	, is	NOMcom	 	ador	13
adorea	, ae	NOMcom	 	adoria, adorea	11
adoreus	, a, um	ADJqua	 	adoreum, adorea	21
adorior	, iris, iri	VER	 	adorti, adortus	5M
adorno	, as	VER	 	adornat, adornauit	51
adoro	, as, are	VER	 	adorat, adoro	51
adrado		VER	Auto. 	adradunt	53
Adramyttenus		ADJqua	Auto. 	Adramytenus	2
Adramytteum	, i	NOMpro	Auto. 	Adramytii	12
Adrana	, ae	NOMpro	Auto. 	Adranam	11
Adrastus	, i	NOMpro	Auto. 	Adrasti	12
Adryades		NOMpro	Auto. (Greek)	Adryasin	17
Aduatici	, i	NOMpro	Auto. 	Atuatucos, Atuatucis	12
Aduatuca	, ae	NOMpro	Auto. 	Atuatucam	11
aduecticius	, a, um	ADJqua	 	aduecticio	21
aduecto	, as, are	VER	 (pas de Temps Primitifs) 	aduectaret	51
aduector		NOMcom	 		13
aduectus	, us	NOMcom	 	aduectu	14
adueho	, is	VER	 	aduectus, aduectis	53
aduehor	, iris	VER	 	aduehebantur, aduehitur	5L
aduelo	, as	VER	 	aduelat	51
aduena	, ae	NOMcom	 	aduena, aduenae	11
aduenio	, is, ire	VER	 	aduenit, adueniens	54
aduenticia	, ae	NOMcom	Auto. 	aduenticia	11
aduenticium	, i	NOMcom	 (Uniquement dans l'expression EX ADVENTICIO) 	aduenticio	12
